,video_id,id,comment,likeCount,lastUpdated,replyCount,replies
551,op4mGRTAlEY,San Kara,"I seriously believe if CR7 had started the game…..
They would have….

L

O

S

T

😂",2,2022-12-11T04:49:57Z,0,
552,op4mGRTAlEY,BOSOM BA,"Ghana 🇬🇭 black stars are u watching,all u know is jama jama nkoaaa.",0,2022-12-11T04:46:11Z,0,
553,op4mGRTAlEY,Jorge De la Paz,Whole world outside of Europe is cheering for this Moroccan team. 🎉🎉🎉,0,2022-12-11T04:45:50Z,0,
554,op4mGRTAlEY,Joel Cervantes,God I love that walkout out anthem 😭 <3333 so beautiful wishing I was there in Qatar,0,2022-12-11T04:44:41Z,0,
555,op4mGRTAlEY,Marstarsea2,That was pure luck !!  What a bummer,0,2022-12-11T04:43:04Z,1,['The better team won. Weep']
556,op4mGRTAlEY,quigleyfox,Morocco trash france ez 3 nil,0,2022-12-11T04:42:31Z,0,
557,op4mGRTAlEY,Cloutzy,See the funny thing is the first person you think about when you see Moroccos goal is Ronaldo.,0,2022-12-11T04:42:24Z,0,
558,op4mGRTAlEY,JoJo G.M.T Loc,that lil green star surrounded by red is shining bright ! #Morocco 🇲🇦,0,2022-12-11T04:41:53Z,0,
559,op4mGRTAlEY,Abbas Amiri,Heheheheh maybe in another world Ronaldo 😅,0,2022-12-11T04:40:18Z,0,
560,op4mGRTAlEY,the traveler dokkali الرحالة الدكالي,"Congratulations to the Moroccan Lions for winning the cup. Yes, in numbers, they won. The players are Moroccan, the coach is Moroccan, the assistants are Moroccan, and the biggest one won the hearts of the Arab fans.
We look at it this way..",0,2022-12-11T04:40:00Z,0,
561,op4mGRTAlEY,mco,"Damm, why is Ronaldo not starting",0,2022-12-11T04:38:27Z,0,
562,op4mGRTAlEY,Gabbo Mendez,back Ronaldo,0,2022-12-11T04:37:27Z,0,
563,op4mGRTAlEY,حمزة,Its called Al andalus. Embrace tradition.,0,2022-12-11T04:37:16Z,0,
564,op4mGRTAlEY,Noah Fills,"Even though we’re Muslims, but we have utmost respect & love for our brother C Ronaldo & Christian brothers & sisters! Sad to see our brother Ronaldo breaking down in tears! Hit like if you guys agree!",0,2022-12-11T04:36:11Z,0,
565,op4mGRTAlEY,Jamal Washington,People are saying first African team to enter World Cup semi finals. It’s the first MUSLIM team as well. Well done Morocco. Long live Palestine 🇵🇸,0,2022-12-11T04:36:24Z,0,
566,op4mGRTAlEY,powerhardy1,"Ronaldo crying is hard to watch. Negligence by the coach. Who cares about this World Cup more than him on Portugal, you MUST let him start and do whatever it takes! Morocco advances.",0,2022-12-11T04:35:39Z,0,
567,op4mGRTAlEY,Craig Fontana,One of the best headers I’ve ever seen. Dude is three feet off the ground,9,2022-12-11T04:35:27Z,0,
568,op4mGRTAlEY,XxBleedZxX,Morocco champion,0,2022-12-11T04:34:51Z,0,
569,op4mGRTAlEY,Gregg,No idea who will beat Bono to Golden Glove. I am hoping Morocco's 1st goal conceded in open play will be to Messi. This has been an extraordinary World Cup,0,2022-12-11T04:33:51Z,0,
570,op4mGRTAlEY,Sultan,I think there is a reason why Morocco won. Teams wearing red win more it seams like with white losing the most.,1,2022-12-11T04:33:47Z,0,
571,op4mGRTAlEY,Time & Space,Bravo Morocco 🇲🇦,1,2022-12-11T04:33:25Z,0,
572,op4mGRTAlEY,Samie,Bono the hero 🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🦁🦁🦁🦁🦁🔥🔥🔥🏆,0,2022-12-11T04:33:13Z,0,
573,op4mGRTAlEY,SunshineSurfsup1,Wow…just wow!  Way to go for the Underdog.,0,2022-12-11T04:32:10Z,0,
574,op4mGRTAlEY,Zac Mickelson,Does anybody know the song during the lineups at 0:18 ?,0,2022-12-11T04:32:07Z,0,
575,op4mGRTAlEY,Matthew Shakes,Still don’t understand why they’re complaining about the ref lol i see nothing wrong,0,2022-12-11T04:30:36Z,1,['Because the losing side complaining about refs is a tradition as old as sport itself']
576,op4mGRTAlEY,BlackBean,Ronaldo joined the game towards the end 🤔,0,2022-12-11T04:30:33Z,0,
577,op4mGRTAlEY,Cherry Blossom,"Why the kept Ronaldo to the end, wasn’t fear.
Morocco has good goal keeper.",0,2022-12-11T04:31:15Z,0,
578,op4mGRTAlEY,Orlando Carrillo,Morocco is amazing! I hope they win the WC. Kinda tired of seeing the same countries win. Africa is due.,1,2022-12-11T04:30:15Z,1,['Fr the fact that we might just be getting Croatia vs. France again is extremely anticlimactic']
579,op4mGRTAlEY,Mikayel Hakobyan,Portugal had chance after chance at the goal and couldn't get through. Bad luck or the goalie is just god,0,2022-12-11T04:29:58Z,0,
580,op4mGRTAlEY,Lalo Hamadeh,😍🤩😍🤩😍🤩😍🤩🥰,0,2022-12-11T04:29:27Z,0,
581,op4mGRTAlEY,Young Fu,"Hakimi has been the best defender this world cup, right up there with Gvardiol. Without him, I don't see Morocco having the level of success they're seeing now. He's insanely good and the staple of that Moroccan squad",0,2022-12-11T04:27:30Z,0,
582,op4mGRTAlEY,Deepak A,"As someone from Asia I am fully rooting for Morocco …..  a non European, non South American team to win a World Cup is long due …. Let’s go Morocco 🇲🇦 !",4,2022-12-11T04:25:41Z,2,"['@Sheikh Husain Timur Khan sure I love beef …….', ""hey, its Pakistan's cousin Morocco here...want to try some moroccon beef?""]"
583,op4mGRTAlEY,israel endalk,the women commentator was the only bad thing about this game...,0,2022-12-11T04:23:58Z,0,
584,op4mGRTAlEY,CEO of BMW,Why isn’t Russia 🇷🇺 and Haiti 🇭🇹 not in World FIFA 2022?,1,2022-12-11T04:22:33Z,0,
585,op4mGRTAlEY,exxodas,Soccer is really stupid I hope this ends soon,1,2022-12-11T04:20:10Z,2,"['@T. Alberto Barbosay tho?', 'I agree soccer is stupid, it should be football.']"
586,op4mGRTAlEY,Khanh Dinh,It’s so releasing to hear Pewds they the things I don’t want to think,0,2022-12-11T04:19:04Z,0,
587,op4mGRTAlEY,BesTechDeals,Morocco destroyed 3 soccer giants so far. what do you expect??,0,2022-12-11T04:18:58Z,0,
588,op4mGRTAlEY,ding dong,"I am moroccan. I was happy for the victory, but I felt sorry for Ronaldo when I saw him crying",0,2022-12-11T04:18:04Z,0,
589,op4mGRTAlEY,Edson Aldana,"As a Uruguayan I have mix emotions, Happy that Morocco made history  but yet heart broken for CR7…He had a chance to equalize it but Bono denied his dreams, World Cup can be cruel yet so beautiful.",0,2022-12-11T04:17:27Z,0,
590,op4mGRTAlEY,ERIC MOLINA,Where is the penalty to Bruno Fernandes????,0,2022-12-11T04:17:15Z,0,
591,op4mGRTAlEY,Golden channel/القناة الذهبية,🎉 congratulations 🇲🇦,0,2022-12-11T04:15:27Z,0,
592,op4mGRTAlEY,Ayeeah Vincent,"Time for Ronaldo to admit his biological clock has struck 12. I love Ronaldo but his time as a pro footballer is up! Before, I thought it was an issue with ManU . Now , I ask myself what is going to be his excuse for this horrible performance at the world cup. All the way through to the quarter-finals and just one goal.A disputed penalty against Ghana.",0,2022-12-11T04:15:22Z,0,
593,op4mGRTAlEY,Agnusdei,"Messi, Mbappe, Modric...and Morocco??? For all the talk about Group E being this year's group of death, Group F has 2 in the semis.",1,2022-12-11T04:15:21Z,0,
594,op4mGRTAlEY,hardkore360,Tristiano 😂😂😂😂😂,1,2022-12-11T04:14:38Z,0,
595,op4mGRTAlEY,Ehecatl Nineninenine,The soccer world is changing,0,2022-12-11T04:14:12Z,0,
596,op4mGRTAlEY,vivian okpalobi,I'm from Nigeria 🇳🇬 rooted for Morocco 🇲🇦 winning Portugal 🇵🇹 👏 🙌 I'm  predicting Morocco 🇲🇦 winning France 🇫🇷 by God's grace 🙏,1,2022-12-11T04:13:56Z,0,
597,op4mGRTAlEY,rigatoni93,Can someone tell me why cancelo and Ronaldo were on the bench today?,0,2022-12-11T04:12:41Z,0,
598,op4mGRTAlEY,Africa Unite,"So proud of Morocco, a beautiful African country, for making it to the World Cup Semifinals!!!! Wishing you all the best going forward. God Bless you and thank you for making AFRICA and AFRICANS proud!!!!",1,2022-12-11T04:12:45Z,0,
599,op4mGRTAlEY,Oscar,"@dianah735 In the Portuguese team there is a lot of envy, nobody wanted to team up with CR7, there is no communication with him, they did not work on prefabricated plays with him, he alone cannot go to the semifinals, he and the team played differently, very strange, which What happened with Zuiza was luck, and today everyone realized it, if CR7 had started I don't think anything would have changed, nobody on his team wants to support him except Pepe",1,2022-12-11T04:10:09Z,0,
600,op4mGRTAlEY,Ryan Nickles,Well done Morocco to clinch this match. Can't help but notice that Portugal became much more competitive after Ronaldo subbed on. Benching him in the previous match due to attitude made sence. Doing the same thing in this match cost Portugal the semi finals.,0,2022-12-11T04:10:09Z,0,
601,op4mGRTAlEY,Ali Khan,As much as I am a Cristiano Ronaldo fan I still am happy for Morocco since I am Muslim.  🇲🇦 ☪,1,2022-12-11T04:09:57Z,0,
602,op4mGRTAlEY,Darif kamal,❤🇲🇦,0,2022-12-11T04:09:55Z,0,
603,op4mGRTAlEY,HUGOBOSS,that second yellow card was so dumb lol,0,2022-12-11T04:09:13Z,0,
604,op4mGRTAlEY,Oscar,"In the Portuguese team there is a lot of envy, nobody wanted to team up with CR7, there is no communication with him, they did not work on prefabricated plays with him, he alone cannot go to the semifinals, he and the team played differently, very strange, which What happened with Zuiza was luck, and today everyone realized it, if CR7 had started I don't think anything would have changed, nobody on his team wants to support him except Pepe",1,2022-12-11T04:09:01Z,0,
